cups	∪︀	\cup
DoubleUpArrow	⇑	\Uparrow
NotGreaterGreater	≫̸	\gg
LeftVectorBar	⥒	\not_defined
ccupssm	⩐	\not_defined
harrw	↭	\leftrightsquigarrow
triangledown	▿	\not_defined
bigoplus	⨁	\bigoplus
rarrw	↝	\rightwavearrow
nshortparallel	∦	\nparallel
SmallCircle	∘	\circ
bigcup	⋃	\bigcup
nparsl	⫽⃥	\not_defined
LeftUpVectorBar	⥘	\not_defined
andslope	⩘	\not_defined
Integral	∫	\intop
boxVh	╫	\not_defined
ntrianglerighteq	⋭	\ntrianglerighteq
Exists	∃	\exists
angsph	∢	\sphericalangle
NotLessSlantEqual	⩽̸	\leqslant
dfisht	⥿	\not_defined
boxhD	╥	\not_defined
eplus	⩱	\not_defined
ltrif	◂	\not_defined
Xi	Ξ	\greekXi
COPY	©	\copyright
oplus	⊕	\oplus
nsupseteq	⊉	\nsupseteq
Jsercy	Ј	\cyrillicJE
dtrif	▾	\not_defined
pi	π	\greekpi
RightUpDownVector	⥏	\not_defined
Psi	Ψ	\greekPsi
uplus	⊎	\uplus
ii	ⅈ	\imaginaryi
eparsl	⧣	\not_defined
lesseqqgtr	⪋	\lesseqqgtr
supsup	⫖	\not_defined
approx	≈	\approx
NegativeThinSpace	​	\zerowidthspace
Superset	⊃	\supset
Upsi	ϒ	\not_defined
nwArr	⇖	\Nwarrow
vartriangleright	⊳	\not_defined
daleth	ℸ	\daleth
NotGreaterTilde	≵	\ngtrsim
NotReverseElement	∌	\nni
jsercy	ј	\cyrillicje
AMP	&	&
ufisht	⥾	\not_defined
OpenCurlyDoubleQuote	“	\quotedblleft
euro	€	\texteuro
plusdu	⨥	\not_defined
lfisht	⥼	\not_defined
leftharpoondown	↽	\leftharpoondown
ZeroWidthSpace	​	\zerowidthspace
frown	⌢	\frown
Dcaron	Ď	\Dcaron
Ecaron	Ě	\Ecaron
Ccaron	Č	\Ccaron
eg	⪚	\not_defined
ldrdhar	⥧	\not_defined
Ncaron	Ň	\Ncaron
b.Lambda	𝚲	\not_defined
Tcaron	Ť	\Tcaron
gg	≫	\gg
Rcaron	Ř	\Rcaron
Scaron	Š	\Scaron
Lcaron	Ľ	\Lcaron
leftrightarrows	⇆	\leftrightarrows
b.chi	𝛘	\not_defined
flat	♭	\flat
kgreen	ĸ	\kkra
nLt	≪⃒	\ll
af	⁡	\relax
psi	ψ	\greekpsi
Gg	⋙	\ggg
cire	≗	\circeq
trpezium	⏢	\not_defined
EEacgr	Ή	\greekEtatonos
simeq	≃	\simeq
supedot	⫄	\not_defined
nGg	⋙̸	\ggg
rtrie	⊵	\not_defined
barvee	⊽	\not_defined
ltrie	⊴	\not_defined
ne	≠	\neq
nsubseteqq	⫅̸	\subseteqq
le	≤	\leq
succcurlyeq	≽	\succcurlyeq
ge	≥	\geq
xrArr	⟹	\Longrightarrow
b.epsi	𝛆	\not_defined
vDash	⊨	\vDash
iexcl	¡	\exclamdown
dcaron	ď	\dcaron
blacklozenge	⧫	\not_defined
UpTeeArrow	↥	\mapsup
ccaron	č	\ccaron
lambda	λ	\greeklambda
EqualTilde	≂	\eqsim
Zcaron	Ž	\Zcaron
iinfin	⧜	\not_defined
RightDoubleBracket	⟧	\rrbracket
ntriangleright	⋫	\ntriangleleft
NotTildeFullEqual	≇	\approxnEq
commat	@	\textat
Re	ℜ	\Re
VDash	⊫	\VDash
frac23	⅔	\twothirds
ord	⩝	\not_defined
Breve	˘	\textbreve
NotSucceedsEqual	⪰̸	\succeq
iukcy	і	\cyrillicii
Lambda	Λ	\greekLambda
CHcy	Ч	\cyrillicCH
jukcy	є	\cyrillicie
Dstrok	Đ	\Dstroke
Gamma	Γ	\greekGamma
Lstrok	Ł	\Lstroke
Hstrok	Ħ	\Hstroke
tridot	◬	\not_defined
llhard	⥫	\not_defined
Tstrok	Ŧ	\Tstroke
breve	˘	\textbreve
FilledSmallSquare	◼	\not_defined
Iukcy	І	\cyrillicII
capbrcup	⩉	\not_defined
napprox	≉	\napprox
cudarrr	⤵	\not_defined
downharpoonleft	⇃	\downharpoonleft
Jukcy	Є	\cyrillicIE
UpTee	⊥	\bot
dstrok	đ	\dstroke
gamma	γ	\greekgamma
roang	⟭	\not_defined
lstrok	ł	\lstroke
DownRightVectorBar	⥗	\not_defined
supsetneq	⊋	\supsetneq
boxv	│	\not_defined
nsucc	⊁	\nsucc
NotGreaterSlantEqual	⩾̸	\geqslant
nvap	≍⃒	\asymp
upuparrows	⇈	\upuparrows
wp	℘	\wp
supsub	⫔	\not_defined
IEcy	Е	\cyrillicE
b.upsi	𝛖	\not_defined
reals	ℝ	\reals
prcue	≼	\preccurlyeq
pluscir	⨢	\not_defined
lagran	ℒ	\not_defined
boxHU	╩	\not_defined
Uogon	Ų	\Uogonek
capdot	⩀	\not_defined
apos	'	\quotesingle
apid	≋	\not_defined
rightrightarrows	⇉	\rightrightarrows
Aogon	Ą	\Aogonek
isins	⋴	\not_defined
Eogon	Ę	\Eogonek
LessTilde	≲	\lesssim
Iogon	Į	\Iogonek
ap	≈	\approx
squf	▪	\not_defined
RightArrow	→	\rightarrow
toea	⤨	\not_defined
rbrace	}	\textbraceright
DownTee	⊤	\top
amalg	⨿	\amalg
LeftTriangle	⊲	\not_defined
b.rho	𝛒	\not_defined
Ll	⋘	\lll
rthree	⋌	\rightthreetimes
check	✓	\checkmark
DownArrowUpArrow	⇵	\downuparrows
xi	ξ	\greekxi
ntlg	≸	\nlessgtr
empty	∅	\emptyset
SubsetEqual	⊆	\subseteq
disin	⋲	\not_defined
emptyset	∅	\emptyset
in	∈	\in
frac14	¼	\onequarter
LeftDoubleBracket	⟦	\llbracket
YAcy	Я	\cyrillicYA
tstrok	ŧ	\tstroke
blacktriangleleft	◂	\not_defined
nabla	∇	\not_defined
scE	⪴	\succeqq
urcorn	⌝	\urcorner
CircleMinus	⊖	\ominus
OHacgr	Ώ	\greekOmegatonos
Or	⩔	\not_defined
Pr	⪻	\not_defined
DoubleUpDownArrow	⇕	\Updownarrow
clubs	♣	\clubsuit
pm	±	\textpm
Lmidot	Ŀ	\Ldotmiddle
bsemi	⁏	\not_defined
EmptyVerySmallSquare	▫	\not_defined
gesdotol	⪄	\not_defined
lrm	‎	\not_defined
drcorn	⌟	\lrcorner
divonx	⋇	\divideontimes
RoundImplies	⥰	\not_defined
ZHcy	Ж	\cyrillicZH
Cconint	∰	\oiiint
GreaterTilde	≳	\gtrsim
andand	⩕	\not_defined
squ	□	\square
acE	∾̳	\not_defined
straightepsilon	ϵ	\greekepsilonalt
KHcy	Х	\cyrillicH
lmidot	ŀ	\ldotmiddle
ll	≪	\ll
Im	ℑ	\Im
SHcy	Ш	\cyrillicSH
el	⪙	\not_defined
napos	ŉ	\napostrophe
lsimg	⪏	\not_defined
circlearrowright	↻	\circlearrowleft
IOcy	Ё	\cyrillicYO
b.Theta	𝚯	\not_defined
longleftrightarrow	⟷	\longleftrightarrow
boxUR	╚	\not_defined
boxDR	╔	\not_defined
ogt	⧁	\not_defined
ngt	≯	\ngtr
larrlp	↫	\looparrowleft
nleq	≰	\nleq
SOFTcy	Ь	\cyrillicSFTSN
curlyeqprec	⋞	\curlyeqprec
midast	*	\ast
NotEqualTilde	≂̸	\eqsim
sfrown	⌢	\frown
blacksquare	▪	\not_defined
geqq	≧	\geqq
Longleftrightarrow	⟺	\Longleftrightarrow
nisd	⋺	\not_defined
NotGreater	≯	\ngtr
UpDownArrow	↕	\updownarrow
NotSuperset	⊃⃒	\supset
angmsd	∡	\measuredangle
Barwed	⌆	\not_defined
ReverseEquilibrium	⇋	\leftrightharpoons
csupe	⫒	\not_defined
gnap	⪊	\gnapprox
gel	⋛	\gtreqless
ImaginaryI	ⅈ	\imaginaryi
lnap	⪉	\lnapprox
InvisibleComma	⁣	\not_defined
nrtri	⋫	\ntriangleleft
thickapprox	≈	\approx
igrave	ì	\igrave
dzigrarr	⟿	\longrightsquigarrow
egrave	è	\egrave
fltns	▱	\not_defined
rmoust	⎱	\rmoustache
nsupe	⊉	\nsupseteq
homtht	∻	\not_defined
there4	∴	\therefore
ugrave	ù	\ugrave
lmoust	⎰	\lmoustache
wedgeq	≙	\wedgeeq
Ograve	Ò	\Ograve
Del	∇	\not_defined
boxvr	├	\not_defined
Igrave	Ì	\Igrave
Egrave	È	\Egrave
intprod	⨼	\not_defined
agrave	à	\agrave
phone	☎	\not_defined
supseteqq	⫆	\supseteqq
angmsdaa	⦨	\not_defined
Ugrave	Ù	\Ugrave
Eacute	É	\Eacute
Cacute	Ć	\Cacute
DownLeftRightVector	⥐	\not_defined
Aacute	Á	\Aacute
DoubleDot	¨	\textdiaeresis
maltese	✠	\maltese
Nacute	Ń	\Nacute
Lacute	Ĺ	\Lacute
Iacute	Í	\Iacute
succnsim	⋩	\succnsim
Lt	≪	\ll
Uacute	Ú	\Uacute
Tilde	∼	\sim
Agrave	À	\Agrave
siml	⪝	\not_defined
Racute	Ŕ	\Racute
Oacute	Ó	\Oacute
NotCupCap	≭	\nasymp
Yacute	Ý	\Yacute
Zacute	Ź	\Zacute
RightDownTeeVector	⥝	\not_defined
eacute	é	\eacute
